City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,karratha,-20.7377,116.8463,89.04,50,74,11.63,AU,1674373205
194,flin flon,54.7682,-101.865,12.38,97,100,4.97,CA,1674373206
195,port blair,11.6667,92.75,84.24,65,75,8.05,IN,1674373204
196,koulikoro,14.0,-7.75,70.83,18,53,6.44,ML,1674373207
197,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-2.99,94,100,15.17,RU,1674373208
198,henties bay,-22.116,14.2845,66.79,82,97,6.44,NA,1674373209
199,hanzhong,33.0728,107.0303,49.93,39,37,4.63,CN,1674373210
200,dicabisagan,17.0818,122.4157,78.21,78,100,5.75,PH,1674373211
201,vila franca do campo,37.7167,-25.4333,57.61,79,59,5.91,PT,1674373212
202,kamenka,51.3223,42.7678,24.49,77,100,11.88,RU,1674373212
203,itaituba,-4.2761,-55.9836,69.37,100,96,0.58,BR,1674373213
204,sorong,-0.8833,131.25,80.42,79,100,5.64,ID,1674373214
205,hirado,33.3597,129.5531,43.39,85,100,15.43,JP,1674373215
206,cordele,31.9635,-83.7824,50.45,89,100,10.36,US,1674373216
207,orsha,54.5153,30.4053,31.86,98,100,5.12,BY,1674373217
208,sokolo,14.7328,-6.1219,72.14,17,12,6.73,ML,1674373217
209,jambi,-1.6,103.6167,85.78,66,98,3.67,ID,1674373218
210,puerto el triunfo,13.2833,-88.55,73.54,78,2,4.32,SV,1674373219
211,saurimo,-9.6608,20.3916,69.22,87,100,6.49,AO,1674373220
212,raudeberg,61.9875,5.1352,38.07,66,4,28.34,NO,1674373221
213,tasiilaq,65.6145,-37.6368,3.36,32,18,36.17,GL,1674373221
214,qui nhon,13.7667,109.2333,75.63,83,100,8.77,VN,1674373222
215,acarau,-2.8856,-40.12,76.44,86,87,7.14,BR,1674373223
216,sitka,57.0531,-135.33,37.29,87,100,10.36,US,1674373224
217,buala,-8.145,159.5921,81.39,80,96,5.46,SB,1674373225
218,mount gambier,-37.8333,140.7667,65.55,66,0,13.13,AU,1674373226
219,mahibadhoo,3.7833,72.9667,80.2,72,20,14.81,MV,1674373226
220,lavrentiya,65.5833,-171.0,-24.2,94,36,6.42,RU,1674373227
221,provideniya,64.3833,-173.3,-16.92,88,90,12.17,RU,1674373228
222,suntar,62.1444,117.6319,-31.68,94,94,6.78,RU,1674373229
223,asmara,15.3333,38.9333,62.96,42,5,2.55,ER,1674373230
224,birin,26.8865,88.0718,59.4,40,13,7.2,NP,1674373231
225,sokol,59.4617,40.1206,20.61,96,93,3.47,RU,1674373231
226,srednekolymsk,67.45,153.6833,-44.07,100,99,1.19,RU,1674373232
227,iskateley,67.6803,53.1512,28.08,89,99,14.41,RU,1674373233
228,balkanabat,39.5108,54.3671,40.78,28,0,3.29,TM,1674373234
229,kisangani,0.5167,25.2,80.71,60,100,1.19,CD,1674373235
230,codrington,-38.2667,141.9667,64.27,72,15,14.58,AU,1674373236
231,rio grande,-32.035,-52.0986,72.1,88,0,8.39,BR,1674373237
232,karpathos,35.507,27.2132,62.56,63,20,6.91,GR,1674373238
233,chulman,56.8479,124.9104,-38.69,98,100,3.83,RU,1674373239
234,buritizeiro,-17.3511,-44.9622,67.06,98,97,2.73,BR,1674373240
235,mecca,21.4267,39.8261,77.85,56,0,2.13,SA,1674373032
236,nouadhibou,20.931,-17.0347,60.78,44,88,20.71,MR,1674373241
237,poum,-20.2333,164.0167,80.82,84,100,10.45,NC,1674373242
238,salalah,17.0151,54.0924,78.89,50,20,3.44,OM,1674373045
239,vanavara,60.34,102.2797,-33.95,97,74,2.55,RU,1674373243
240,nizwa,22.9333,57.5333,68.23,43,9,4.29,OM,1674373244
241,ambon,-3.6954,128.1814,87.94,66,40,10.36,ID,1674373246
242,guerrero negro,27.9769,-114.0611,54.32,41,0,4.59,MX,1674373246
243,bonavista,48.6499,-53.1147,31.35,79,100,30.13,CA,1674373247
244,dingle,10.9995,122.6711,79.81,82,100,8.68,PH,1674373248
245,jijiga,9.35,42.8,72.54,16,92,3.18,ET,1674373249
